NO,都道府県コード又は市区町村コード,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
1,11,埼玉県,さいたま市,大宮こども部　「みんなでごはんを食べる会」,,,,さいたま市大宮区吉敷町4丁目223-2,,35.898348,139.635748,,,,,,,,kids.club.omiya@gmail.com,,,,,,5,金,,18:00,21:00,毎月最終金曜日,,0,0,0,0,300,,,,,,,,,,,,
2,11,埼玉県,さいたま市,じおんじこども食堂,,,,さいたま市岩槻区慈恩寺904-1,,35.9800607,139.7142502,090-6044-7311,,,,,,,yamakados@yahoo.co.jp,,,,,,4,火,,17:30,19:00,毎月第2、第4火曜日,,0,0,0,0,100,,,,,,,,埼玉県子ども食堂ネットワーク,,,,
3,11,埼玉県,さいたま市,こもれびごはん,,,,さいたま市桜区大字大久保領家131-6,,35.86956,139.608344,048-852-7412,,,,,,,napualani66@gmail.com,,,,,,5,土,,10:00,14:00,毎月第2土曜　※変更の可能性あり（施設の予約により）,,0,0,0,0,200,,,,,,,,,,,,
4,11,埼玉県,さいたま市,ミサコランド多世代食堂（大宮浅間町食堂）,,,,さいたま市浅間町1-116-8 MSKビル1階,,35.905431,139.634121,,,,,,,http://www.misakoland.co.jp,misakoland@misakoland.co.jp,,,,,,5,土,,,,第3土曜日,,0,0,0,0,500,,,,,,,,埼玉県子ども食堂ネットワーク,,,,
5,11,埼玉県,さいたま市,子どもがつくる　きちんとキッチン,,,,さいたま市大宮区仲町3-88-2,,35.9055448,139.6294807,,,,,,,,yuko.fujiiw@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,埼玉県,さいたま市,子供食堂にじいろ広場,,,,さいたま市北区日進町3丁目437（日進三丁目自治会館）,,35.9376542,139.602529,090-7401-6660,,,,,,https://nijiirohiroba7.jimdofree.com/,nijiirohiroba7@gmail.com,,,,,,4,水,,,,毎月第3水曜日+2回,,0,0,0,0,300,,,,,1,,,埼玉県子ども食堂ネットワーク,,,,
7,11,埼玉県,さいたま市,見沼はるかぜキッチン,,,,さいたま市見沼区宮ヶ谷塔765（さいたま市春おか広場）,,35.9433746,139.6706867,,,,,,,,m.harukaze.kitchen@gmail.com,,,,,,5,土,,17:00,19:00,毎月第2土曜日,,0,0,0,0,500,,,,,,,,,,,,
8,11,埼玉県,さいたま市,子ども食堂NEO,,,学習支援,さいたま市南区文蔵2-24-7（文蔵サロン内）,,35.841605,139.667974,080-6636-2076,,,,,,http://ameblo.jp/buzosalon-neo2018/,konomati@jcom.zaq.ne.jp,,,,,,5,土,,,,毎月第4土曜日,,300,300,300,300,600,,,,,1,,,埼玉県子ども食堂ネットワーク,,,,
9,11,埼玉県,さいたま市,てらこや食堂,,,,さいたま市大宮区北袋町1-285,,35.8919084,139.6407857,048-627-2411,,,,,,http://kodomo-labo.terakoya-labo.org/terakoyalabo.sakura.ne.jp/,info@terakoya-labo.org,,,,,,5,水,,,,第4水曜日,,0,0,0,0,500,,,,,,,,埼玉県子ども食堂ネットワーク,,,,
10,11,埼玉県,さいたま市,さいたま子ども食堂,,,学習支援,さいたま市緑区原山3-20-9,,35.8729156,139.6772396,048-789-7340,,,,,,http://saitamakodomoshokudo.ai-kenchikukoubou.jp/,saitamakodomoshokudo@ai-kenchikukoubou.jp,,,,,,2,月水金,,14:00,17:00,第2、第3土曜日お弁当プチパントリー　毎週月・水・金,,0,0,0,0,500,大人は1家族当たり500円,,,,,,,埼玉県子ども食堂ネットワーク,,,,
